"customer_id","name","country","gender","date_of_birth","date_account_start"
"2","Wolfgang Ackermann","Austria","male","1971-11-17T00:00:00.000Z","2018-10-15T00:00:00.000Z"
"3","Daniela Herzog","Austria","female","1974-08-07T00:00:00.000Z","2019-02-14T00:00:00.000Z"
"4","Julia Jung","Austria","female","1991-01-04T00:00:00.000Z","2017-11-22T00:00:00.000Z"
"5","Juliane Kirsch","Austria","female","1977-03-01T00:00:00.000Z","2018-12-16T00:00:00.000Z"
"6","Rowanne Couperus","Belgium","female","1994-04-05T00:00:00.000Z","2018-08-26T00:00:00.000Z"
"7","Annelous Sneep","Belgium","female","1993-11-14T00:00:00.000Z","2018-05-12T00:00:00.000Z"
"8","Jaëla van den Dolder","Belgium","female","1990-08-31T00:00:00.000Z","2018-02-08T00:00:00.000Z"
"9","Antal van Looij","Belgium","male","1982-06-18T00:00:00.000Z","2019-03-10T00:00:00.000Z"
"10","Arnout Veenhuis","Belgium","male","1984-07-26T00:00:00.000Z","2017-01-28T00:00:00.000Z"
"11","Yakup Mes","Belgium","male","1978-04-28T00:00:00.000Z","2019-02-19T00:00:00.000Z"
"12","Kristine J. Lauritsen","Denmark","female","1994-01-14T00:00:00.000Z","2018-12-02T00:00:00.000Z"
"13","Thomas T. Nissen","Denmark","male","1975-09-25T00:00:00.000Z","2017-04-30T00:00:00.000Z"
"14","Niels M. Holm","Denmark","male","1991-12-29T00:00:00.000Z","2018-01-26T00:00:00.000Z"
"15","Jasmin M. Krogh","Denmark","female","1977-11-12T00:00:00.000Z","2018-06-20T00:00:00.000Z"
"16","Sofia J. Pedersen","Denmark","female","1990-05-27T00:00:00.000Z","2018-10-02T00:00:00.000Z"
"17","Ida E. Gregersen","Denmark","female","1998-09-15T00:00:00.000Z","2018-02-07T00:00:00.000Z"
"18","Nikolaj L. Jensen","Denmark","male","1995-06-03T00:00:00.000Z","2019-01-14T00:00:00.000Z"
"19","Avelaine Piedalue","France","female","1972-04-14T00:00:00.000Z","2017-01-13T00:00:00.000Z"
"20","Jacqueline Cloutier","France","female","1990-09-30T00:00:00.000Z","2018-11-03T00:00:00.000Z"
"21","Avelaine Corbeil","France","female","1986-03-17T00:00:00.000Z","2017-06-11T00:00:00.000Z"
"22","Delit Perillard","France","female","1970-01-10T00:00:00.000Z","2018-11-18T00:00:00.000Z"
"23","Fleurette Pomerleau","France","female","1981-12-10T00:00:00.000Z","2017-09-04T00:00:00.000Z"
"24","Christien Tachel","France","male","1991-06-26T00:00:00.000Z","2018-09-21T00:00:00.000Z"
"25","Fiacre Montminy","France","male","1973-08-01T00:00:00.000Z","2017-03-29T00:00:00.000Z"
"26","Marcel Sicard","France","male","1988-08-06T00:00:00.000Z","2017-01-20T00:00:00.000Z"
"27","Perrin Patel","France","male","1994-10-30T00:00:00.000Z","2018-12-20T00:00:00.000Z"
"28","Sidney Généreux","France","male","1980-12-01T00:00:00.000Z","2017-02-04T00:00:00.000Z"
"29","Loyal Arcouet","France","male","1995-08-13T00:00:00.000Z","2017-10-30T00:00:00.000Z"
"30","Gradasso Mousseau","France","male","1976-07-11T00:00:00.000Z","2017-10-10T00:00:00.000Z"
"31","Christien D'Aubigné","France","male","1986-11-06T00:00:00.000Z","2018-02-13T00:00:00.000Z"
"32","Hayden O'Donnell","Great Britan","male","1991-11-07T00:00:00.000Z","2017-11-20T00:00:00.000Z"
"33","Oliver Fleming","Great Britan","male","1981-03-04T00:00:00.000Z","2018-02-22T00:00:00.000Z"
"34","Oscar Stanley","Great Britan","male","1993-12-01T00:00:00.000Z","2017-03-31T00:00:00.000Z"
"35","Harvey Jarvis","Great Britan","male","1990-01-16T00:00:00.000Z","2017-05-22T00:00:00.000Z"
"36","Jacob Hope","Great Britan","male","1979-08-27T00:00:00.000Z","2018-06-24T00:00:00.000Z"
"37","Sienna Forster","Great Britan","female","1984-12-16T00:00:00.000Z","2018-12-09T00:00:00.000Z"
"38","Millie Marsden","Great Britan","female","1974-07-02T00:00:00.000Z","2017-11-06T00:00:00.000Z"
"39","Amy Haynes","Great Britan","female","1975-07-28T00:00:00.000Z","2018-01-19T00:00:00.000Z"
"40","Matilda Connor","Great Britan","female","1990-12-18T00:00:00.000Z","2019-01-18T00:00:00.000Z"
"41","Zara Mitchell","Great Britan","female","1994-07-08T00:00:00.000Z","2017-06-12T00:00:00.000Z"
"42","Takáts Agoti","Hungary","female","1992-07-07T00:00:00.000Z","2018-11-08T00:00:00.000Z"
"43","Szôllôs Erzebet","Hungary","female","1995-09-04T00:00:00.000Z","2018-08-17T00:00:00.000Z"
"44","Lakatos Mária","Hungary","female","1994-11-28T00:00:00.000Z","2018-08-12T00:00:00.000Z"
"45","Vargha Ivett","Hungary","female","1998-11-27T00:00:00.000Z","2017-08-09T00:00:00.000Z"
"46","Söröss Ema","Hungary","female","1984-03-13T00:00:00.000Z","2017-06-26T00:00:00.000Z"
"47","Kállai Sólyom","Hungary","male","1983-10-29T00:00:00.000Z","2018-10-18T00:00:00.000Z"
"48","Mayer Károly","Hungary","male","1991-06-02T00:00:00.000Z","2019-02-26T00:00:00.000Z"
"49","Havasy Kristof","Hungary","male","1998-06-13T00:00:00.000Z","2017-01-18T00:00:00.000Z"
"50","Csordás Ármin","Hungary","male","1986-11-30T00:00:00.000Z","2018-04-23T00:00:00.000Z"
"51","Sághy Sebes","Hungary","male","1976-01-04T00:00:00.000Z","2017-03-15T00:00:00.000Z"
"52","Szepessi Marton","Hungary","male","1983-03-14T00:00:00.000Z","2018-03-24T00:00:00.000Z"
"53","Teresio Panicucci","Italy","male","1999-07-21T00:00:00.000Z","2018-11-06T00:00:00.000Z"
